stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length,day,siptype,siplevel,sip_id,diptype,diplevel,dip_id
2017-11-23 08:46:32,2017-11-23 08:46:42,mysql,10.50.50.26,4443,10.64.105.140,2393,2766,3149,2017-11-23,development2,4,1328,0,0,0
2017-11-23 08:46:32,2017-11-23 08:46:42,mysql,10.50.50.26,4443,10.64.105.140,2393,6617,180002718,2017-11-23,development2,4,1328,0,0,0
2017-11-23 09:06:50,2017-11-23 09:07:00,ssh,10.50.50.38,22,10.64.105.140,2393,5941,150000623,2017-11-23,development2,4,1328,0,0,0
2017-11-23 09:06:50,2017-11-23 09:07:00,ssh,10.50.50.38,22,10.64.105.140,2393,4651,720,2017-11-23,development2,4,1328,0,0,0
2017-11-23 09:31:25,2017-11-23 09:31:35,mongodb,10.50.50.26,8005,10.64.105.140,2393,986,4653,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:03:21,2017-11-23 10:03:29,http,10.50.50.31,57800,10.64.105.140,2396,1280,1962348,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:03:26,2017-11-23 10:04:01,http,10.50.50.31,57800,10.64.105.140,2437,3489,1289,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:03:45,2017-11-23 10:04:43,http,10.50.50.31,57800,10.64.105.140,2412,33298,4627993,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:03:49,2017-11-23 10:04:05,http,10.50.50.31,57800,10.64.105.140,2469,12996,370108,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:03:56,2017-11-23 10:04:12,http,10.50.50.31,57800,10.64.105.140,2415,70613,56134,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:04:12,2017-11-23 10:05:00,http,10.50.50.31,57800,10.64.105.140,2406,7897,2084488,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:04:48,2017-11-23 10:05:19,http,10.50.50.31,57800,10.64.105.140,2414,14676,3490556,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:05:28,2017-11-23 10:05:28,http,10.50.50.31,57800,10.64.105.140,2435,1800,402899,2017-11-23,development2,4,1328,0,0,0
2017-11-23 10:07:52,2017-11-23 10:08:20,http,10.50.50.31,57800,10.64.105.140,2421,49983,685275,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:14:13,2017-11-23 11:14:15,http,10.50.50.27,443,10.64.105.140,2479,10591,5671818,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:14:43,2017-11-23 11:15:03,http,10.50.50.27,443,10.64.105.140,2496,12254,5941545,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:14:57,2017-11-23 11:15:14,http,10.50.50.27,443,10.64.105.140,2485,34148,363453,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:15:42,2017-11-23 11:15:43,http,10.50.50.27,443,10.64.105.140,2493,20757,264495,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:16:42,2017-11-23 11:17:28,http,10.50.50.27,443,10.64.105.140,2500,15041,252826,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:16:56,2017-11-23 11:17:00,http,10.50.50.27,443,10.64.105.140,2497,61384,1649,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:17:27,2017-11-23 11:17:45,http,10.50.50.27,443,10.64.105.140,2504,31,696576,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:18:47,2017-11-23 11:19:34,http,10.50.50.27,443,10.64.105.140,2519,5423,2305857,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:24:54,2017-11-23 11:25:04,ftp,10.50.50.26,21,10.64.105.140,2478,67,2660,2017-11-23,development2,4,1328,0,0,0
2017-11-23 11:44:33,2017-11-23 11:44:43,tds,10.50.50.29,54238,10.64.105.140,2478,1145,4590,2017-11-23,development2,4,1328,0,0,0
2017-11-23 12:27:59,2017-11-23 12:28:09,ftp,10.50.50.31,21,10.64.105.140,2478,150005172,176,2017-11-23,development2,4,1328,0,0,0
2017-11-23 12:27:59,2017-11-23 12:28:09,ftp,10.50.50.31,21,10.64.105.140,2478,1277,2577,2017-11-23,development2,4,1328,0,0,0
2017-11-23 12:28:19,2017-11-23 12:28:29,ftp,10.50.50.31,21,10.64.105.140,2478,2763,60009511,2017-11-23,development2,4,1328,0,0,0
2017-11-23 12:38:43,2017-11-23 12:39:07,http,10.50.50.26,443,10.64.105.140,2563,204,3957620,2017-11-23,development2,4,1328,0,0,0
2017-11-23 12:39:17,2017-11-23 12:40:05,http,10.50.50.26,443,10.64.105.140,2624,3125,677598,2017-11-23,development2,4,1328,0,0,0
2017-11-23 12:39:28,2017-11-23 12:39:55,http,10.50.50.26,443,10.64.105.140,2593,44441,6846055,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:08:57,2017-11-23 13:09:11,http,10.50.50.26,443,10.64.105.140,2637,417,1700719,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:08:59,2017-11-23 13:09:00,http,10.50.50.26,443,10.64.105.140,2658,154,3956075,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:09:15,2017-11-23 13:09:41,http,10.50.50.26,443,10.64.105.140,2638,3552,1300705,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:10:27,2017-11-23 13:11:05,http,10.50.50.26,443,10.64.105.140,2642,166,1260105,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:33:57,2017-11-23 13:34:34,http,10.50.50.31,57800,10.64.105.140,2821,61730,1037551,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:34:24,2017-11-23 13:34:39,http,10.50.50.31,57800,10.64.105.140,2897,1311,2904089,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:34:48,2017-11-23 13:35:39,http,10.50.50.31,57800,10.64.105.140,2823,4325,1552950,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:34:58,2017-11-23 13:35:36,http,10.50.50.31,57800,10.64.105.140,2844,14,3796437,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:35:05,2017-11-23 13:35:26,http,10.50.50.31,57800,10.64.105.140,2911,1061,619678,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:35:19,2017-11-23 13:35:33,http,10.50.50.31,57800,10.64.105.140,2831,52764,2240913,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:35:21,2017-11-23 13:36:03,http,10.50.50.31,57800,10.64.105.140,2865,2343,38763,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:37:38,2017-11-23 13:38:12,http,10.50.50.31,57800,10.64.105.140,2893,4453,1198552,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:40:52,2017-11-23 13:41:26,http,10.50.50.31,57800,10.64.105.140,2934,29455,551863,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:47:09,2017-11-23 13:47:19,sftp,10.50.50.35,22,10.64.105.140,2678,3266,9115,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:47:09,2017-11-23 13:47:19,sftp,10.50.50.35,22,10.64.105.140,2678,150009609,2208,2017-11-23,development2,4,1328,0,0,0
2017-11-23 13:47:19,2017-11-23 13:47:29,sftp,10.50.50.35,22,10.64.105.140,2678,150002063,2819,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:17:55,2017-11-23 14:18:07,http,180.149.132.3,443,10.64.105.140,2691,9870,5537177,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:18:51,2017-11-23 14:19:07,http,180.149.132.3,443,10.64.105.140,2696,3433,5118511,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:19:36,2017-11-23 14:19:40,http,180.149.132.3,443,10.64.105.140,2730,19288,739433,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:19:38,2017-11-23 14:20:04,http,180.149.132.3,443,10.64.105.140,2714,15778,8529289,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:20:06,2017-11-23 14:20:12,http,180.149.132.3,443,10.64.105.140,2734,1501,11443,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:55:45,2017-11-23 14:55:55,mysql,10.50.50.26,4443,10.64.105.140,2678,30003083,8792,2017-11-23,development2,4,1328,0,0,0
2017-11-23 14:55:55,2017-11-23 14:56:05,mysql,10.50.50.26,4443,10.64.105.140,2678,7000,30005185,2017-11-23,development2,4,1328,0,0,0
2017-11-23 15:11:35,2017-11-23 15:11:45,sftp,10.50.50.28,22,10.64.105.140,2678,4942,9867,2017-11-23,development2,4,1328,0,0,0
2017-11-23 15:11:44,2017-11-23 15:11:49,http,156.151.59.35,443,10.64.105.140,2940,1383,2215730,2017-11-23,development2,4,1328,0,0,0
2017-11-23 15:25:05,2017-11-23 15:25:15,sftp,10.50.50.28,22,10.64.105.140,2678,9021,180002392,2017-11-23,development2,4,1328,0,0,0
2017-11-23 15:31:11,2017-11-23 15:31:21,ssh,10.50.50.26,22,10.64.105.140,2678,120001851,8078,2017-11-23,development2,4,1328,0,0,0
2017-11-23 15:31:11,2017-11-23 15:31:21,ssh,10.50.50.26,22,10.64.105.140,2678,840,4457,2017-11-23,development2,4,1328,0,0,0
2017-11-23 15:56:51,2017-11-23 15:57:01,mongodb,10.50.50.26,8005,10.64.105.140,2678,3459,6310,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:32:05,2017-11-23 16:32:16,http,10.5.71.60,443,10.64.105.140,3260,11449,1333786,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:32:28,2017-11-23 16:32:55,http,10.5.71.60,443,10.64.105.140,3269,40635,314528,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:32:29,2017-11-23 16:33:28,http,10.5.71.60,443,10.64.105.140,3295,28855,2878715,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:32:42,2017-11-23 16:32:51,http,10.5.71.60,443,10.64.105.140,3292,53231,3975460,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:34:11,2017-11-23 16:34:56,http,10.5.71.60,443,10.64.105.140,3306,9912,430758,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:35:06,2017-11-23 16:35:23,http,10.5.71.60,443,10.64.105.140,3297,1789,2628697,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:35:08,2017-11-23 16:35:17,http,10.5.71.60,443,10.64.105.140,3298,436,4894869,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:37:25,2017-11-23 16:37:45,http,10.63.120.70,443,10.64.105.140,3128,108,705902,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:48:06,2017-11-23 16:48:16,mongodb,10.50.50.26,8005,10.64.105.140,2678,3884,3553,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:48:36,2017-11-23 16:48:46,mongodb,10.50.50.26,8005,10.64.105.140,2678,1499,150007132,2017-11-23,development2,4,1328,0,0,0
2017-11-23 16:52:24,2017-11-23 16:52:34,mysql,10.50.50.43,4443,10.64.105.140,2678,3978,1809,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:12:55,2017-11-23 17:13:05,mysql,10.50.50.26,4443,10.64.105.140,2678,8026,180000983,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:13:15,2017-11-23 17:13:25,mysql,10.50.50.26,4443,10.64.105.140,2678,9287,240002374,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:22:04,2017-11-23 17:22:52,http,58.250.137.36,443,10.64.105.140,2744,15402,93495,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:22:37,2017-11-23 17:23:02,http,58.250.137.36,443,10.64.105.140,2782,1426,8584609,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:25:14,2017-11-23 17:25:24,sftp,10.50.50.35,22,10.64.105.140,2678,210000991,9573,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:25:14,2017-11-23 17:25:24,sftp,10.50.50.35,22,10.64.105.140,2678,4688,4345,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:25:24,2017-11-23 17:25:34,sftp,10.50.50.35,22,10.64.105.140,2678,3428,60009219,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:32:08,2017-11-23 17:32:18,postgresql,10.50.50.26,5432,10.64.105.140,2678,2,3726,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:44:13,2017-11-23 17:44:23,ssh,10.50.50.29,22,10.64.105.140,2678,3461,226,2017-11-23,development2,4,1328,0,0,0
2017-11-23 17:44:23,2017-11-23 17:44:33,ssh,10.50.50.29,22,10.64.105.140,2678,180007809,5298,2017-11-23,development2,4,1328,0,0,0
2017-11-23 18:00:20,2017-11-23 18:01:05,http,10.50.50.31,57800,10.64.105.140,3152,8490,162631,2017-11-23,development2,4,1328,0,0,0
2017-11-23 18:00:36,2017-11-23 18:00:52,http,10.50.50.31,57800,10.64.105.140,3158,24075,5391278,2017-11-23,development2,4,1328,0,0,0
2017-11-23 18:01:05,2017-11-23 18:01:46,http,10.50.50.31,57800,10.64.105.140,3154,50,4222432,2017-11-23,development2,4,1328,0,0,0
2017-11-23 18:02:24,2017-11-23 18:02:48,http,10.63.120.70,443,10.64.105.140,3217,1053,492654,2017-11-23,development2,4,1328,0,0,0
2017-11-23 18:03:11,2017-11-23 18:03:15,http,10.50.50.31,57800,10.64.105.140,3165,12340,157856,2017-11-23,development2,4,1328,0,0,0
2017-11-23 18:03:25,2017-11-23 18:04:21,http,10.50.50.31,57800,10.64.105.140,3196,7248,5714165,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:20:08,2017-11-23 19:20:18,mongodb,10.50.50.28,8005,10.64.105.140,2678,2228,3061,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:20:18,2017-11-23 19:20:28,mongodb,10.50.50.28,8005,10.64.105.140,2678,180003997,8059,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:20:28,2017-11-23 19:20:38,mongodb,10.50.50.28,8005,10.64.105.140,2678,8139,90001876,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:57:58,2017-11-23 19:58:48,http,115.231.74.62,443,10.64.105.140,2949,7840,1390460,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:58:09,2017-11-23 19:58:57,http,115.231.74.62,443,10.64.105.140,3039,175,1788417,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:58:18,2017-11-23 19:59:17,http,115.231.74.62,443,10.64.105.140,2974,4588,192321,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:58:24,2017-11-23 19:59:08,http,115.231.74.62,443,10.64.105.140,3064,135,144,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:59:14,2017-11-23 20:00:14,http,115.231.74.62,443,10.64.105.140,3086,5727,35470,2017-11-23,development2,4,1328,0,0,0
2017-11-23 19:59:33,2017-11-23 19:59:44,http,115.231.74.62,443,10.64.105.140,2981,845,5492144,2017-11-23,development2,4,1328,0,0,0
2017-11-23 20:00:30,2017-11-23 20:01:22,http,115.231.74.62,443,10.64.105.140,2999,751,2796,2017-11-23,development2,4,1328,0,0,0
2017-11-23 20:01:06,2017-11-23 20:01:26,http,115.231.74.62,443,10.64.105.140,3041,14860,1802539,2017-11-23,development2,4,1328,0,0,0
2017-11-23 20:05:08,2017-11-23 20:05:54,http,115.231.74.62,443,10.64.105.140,3106,3884,8364020,2017-11-23,development2,4,1328,0,0,0
2017-11-23 20:05:14,2017-11-23 20:06:09,http,115.231.74.62,443,10.64.105.140,3107,517,811426,2017-11-23,development2,4,1328,0,0,0
