stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length,day,siptype,siplevel,sip_id,diptype,diplevel,dip_id
2017-11-16 09:31:08,2017-11-16 09:31:18,ssh,10.50.50.29,22,10.64.105.33,1934,1987,9666,2017-11-16,development1,4,1364,0,0,0
2017-11-16 09:31:18,2017-11-16 09:31:28,ssh,10.50.50.29,22,10.64.105.33,1934,150004915,5597,2017-11-16,development1,4,1364,0,0,0
2017-11-16 09:57:37,2017-11-16 09:57:47,mongodb,10.50.50.49,8005,10.64.105.33,1934,4181,1303,2017-11-16,development1,4,1364,0,0,0
2017-11-16 10:29:50,2017-11-16 10:48:36,smtp,10.5.71.60,25,10.64.105.33,1966,172,257,2017-11-16,development1,4,1364,0,0,0
2017-11-16 10:47:59,2017-11-16 11:07:39,smtp,10.5.71.60,25,10.64.105.33,1942,182,207,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:02:49,2017-11-16 11:02:59,mongodb,10.50.50.49,8005,10.64.105.33,1934,180003618,5150,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:02:49,2017-11-16 11:02:59,mongodb,10.50.50.49,8005,10.64.105.33,1934,1847,7008,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:09:36,2017-11-16 11:09:37,http,10.5.71.60,443,10.64.105.33,2233,659,443450,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:09:51,2017-11-16 11:10:49,http,10.5.71.60,443,10.64.105.33,2269,43709,134127,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:09:54,2017-11-16 11:10:31,http,10.5.71.60,443,10.64.105.33,2265,7370,900584,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:10:52,2017-11-16 11:11:38,http,10.5.71.60,443,10.64.105.33,2290,27806,37314,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:11:19,2017-11-16 11:12:09,http,10.5.71.60,443,10.64.105.33,2352,14184,1187664,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:12:34,2017-11-16 11:13:31,http,10.5.71.60,443,10.64.105.33,2314,729,651610,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:13:07,2017-11-16 11:13:08,http,10.5.71.60,443,10.64.105.33,2313,43778,2083320,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:43:11,2017-11-16 11:43:21,postgresql,10.7.133.20,5432,10.64.105.33,1934,3543,2916,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:44:10,2017-11-16 11:44:34,http,10.5.71.60,443,10.64.105.33,2590,43491,114035,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:44:18,2017-11-16 11:44:50,http,10.5.71.60,443,10.64.105.33,2594,8005,535293,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:52:20,2017-11-16 11:52:57,http,10.50.50.27,443,10.64.105.33,2476,7159,1019620,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:52:20,2017-11-16 11:53:16,http,10.50.50.27,443,10.64.105.33,2447,8064,2562653,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:52:56,2017-11-16 11:53:27,http,10.50.50.27,443,10.64.105.33,2485,17396,910149,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:53:46,2017-11-16 11:53:50,http,10.50.50.27,443,10.64.105.33,2506,53223,6040062,2017-11-16,development1,4,1364,0,0,0
2017-11-16 11:56:11,2017-11-16 11:57:08,http,10.50.50.27,443,10.64.105.33,2512,19923,316952,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:00:55,2017-11-16 12:01:43,http,10.50.50.43,80,10.64.105.33,2371,2168,3070921,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:01:17,2017-11-16 12:02:02,http,10.50.50.43,80,10.64.105.33,2416,363,2052723,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:01:27,2017-11-16 12:02:06,http,10.50.50.43,80,10.64.105.33,2405,390,2391152,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:01:29,2017-11-16 12:01:59,http,10.50.50.43,80,10.64.105.33,2420,9615,1441079,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:09:11,2017-11-16 12:09:59,http,10.5.71.60,443,10.64.105.33,2542,0,344365,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:09:56,2017-11-16 12:10:15,http,10.5.71.60,443,10.64.105.33,2554,6625,3586007,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:16:07,2017-11-16 12:16:58,http,10.50.50.43,80,10.64.105.33,2097,33312,56497,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:22:52,2017-11-16 12:23:13,http,10.50.50.43,80,10.64.105.33,1974,32536,476551,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:23:05,2017-11-16 12:23:27,http,10.50.50.43,80,10.64.105.33,2031,3673,5547385,2017-11-16,development1,4,1364,0,0,0
2017-11-16 12:23:22,2017-11-16 12:23:25,http,10.50.50.43,80,10.64.105.33,1998,52830,77969,2017-11-16,development1,4,1364,0,0,0
