stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length,day,siptype,siplevel,sip_id,diptype,diplevel,dip_id
2017-11-15 09:35:38,2017-11-15 09:35:48,ssh,10.50.50.28,22,10.64.105.33,2349,1093,7337,2017-11-15,development1,4,1364,0,0,0
2017-11-15 09:35:38,2017-11-15 09:35:48,ssh,10.50.50.28,22,10.64.105.33,2349,5226,180003799,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:05:42,2017-11-15 10:06:07,http,58.218.207.238,8080,10.64.105.33,2351,283,3852608,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:06:15,2017-11-15 10:06:51,http,58.218.207.238,8080,10.64.105.33,2416,494,5491654,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:06:31,2017-11-15 10:06:47,http,58.218.207.238,8080,10.64.105.33,2374,196,1523377,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:06:31,2017-11-15 10:06:54,http,58.218.207.238,8080,10.64.105.33,2388,993,393611,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:06:36,2017-11-15 10:06:37,http,58.218.207.238,8080,10.64.105.33,2421,17790,2612,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:07:09,2017-11-15 10:07:54,http,58.218.207.238,8080,10.64.105.33,2408,3300,4081120,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:08:41,2017-11-15 10:09:04,http,58.218.207.238,8080,10.64.105.33,2446,7,585291,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:55:59,2017-11-15 10:56:57,http,10.50.50.27,443,10.64.105.33,3521,31661,6170001,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:56:24,2017-11-15 10:57:22,http,10.50.50.27,443,10.64.105.33,3527,11,5041131,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:57:24,2017-11-15 10:58:11,http,10.50.50.27,443,10.64.105.33,3538,5308,674473,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:58:35,2017-11-15 10:59:17,http,10.50.50.27,443,10.64.105.33,3545,28826,26412,2017-11-15,development1,4,1364,0,0,0
2017-11-15 10:58:46,2017-11-15 10:59:14,http,10.50.50.27,443,10.64.105.33,3553,25997,2927966,2017-11-15,development1,4,1364,0,0,0
2017-11-15 11:03:45,2017-11-15 11:03:55,ftp,10.50.50.26,21,10.64.105.33,2472,625,9944,2017-11-15,development1,4,1364,0,0,0
2017-11-15 11:04:15,2017-11-15 11:04:25,ftp,10.50.50.26,21,10.64.105.33,2472,4918,210006776,2017-11-15,development1,4,1364,0,0,0
2017-11-15 11:05:23,2017-11-15 11:05:42,http,10.5.71.60,443,10.64.105.33,2738,181,429256,2017-11-15,development1,4,1364,0,0,0
