stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length,day,siptype,siplevel,sip_id,diptype,diplevel,dip_id
2017-11-24 09:56:03,2017-11-24 09:56:13,ssh,10.50.50.28,22,10.64.105.232,1824,180005635,3722,2017-11-24,development1,4,1462,0,0,0
2017-11-24 09:56:03,2017-11-24 09:56:13,ssh,10.50.50.28,22,10.64.105.232,1824,489,4368,2017-11-24,development1,4,1462,0,0,0
2017-11-24 09:56:13,2017-11-24 09:56:23,ssh,10.50.50.28,22,10.64.105.232,1824,5622,240009317,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:12:10,2017-11-24 11:13:03,http,64.238.147.53,80,10.64.105.232,2256,9914,23931,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:12:30,2017-11-24 11:12:54,http,64.238.147.53,80,10.64.105.232,2315,327,678481,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:12:30,2017-11-24 11:12:53,http,64.238.147.53,80,10.64.105.232,2262,48367,5919828,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:13:19,2017-11-24 11:13:21,http,64.238.147.53,80,10.64.105.232,2321,29,37980,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:13:45,2017-11-24 11:13:50,http,64.238.147.53,80,10.64.105.232,2287,492,18855,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:14:47,2017-11-24 11:15:31,http,64.238.147.53,80,10.64.105.232,2353,27224,25580,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:14:54,2017-11-24 11:14:54,http,64.238.147.53,80,10.64.105.232,2326,60178,194894,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:15:04,2017-11-24 11:15:42,http,64.238.147.53,80,10.64.105.232,2358,886,321316,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:28:29,2017-11-24 11:28:39,mysql,10.50.50.26,4443,10.64.105.232,1824,60005476,8964,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:28:39,2017-11-24 11:28:49,mysql,10.50.50.26,4443,10.64.105.232,1824,210007524,9357,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:30:44,2017-11-24 11:30:48,http,140.211.11.105,443,10.64.105.232,2420,232,2318027,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:30:53,2017-11-24 11:31:47,http,140.211.11.105,443,10.64.105.232,2539,20833,7513737,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:31:05,2017-11-24 11:31:43,http,140.211.11.105,443,10.64.105.232,2458,5253,5113501,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:31:54,2017-11-24 11:32:51,http,140.211.11.105,443,10.64.105.232,2530,2275,609904,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:32:10,2017-11-24 11:32:34,http,140.211.11.105,443,10.64.105.232,2508,6458,768985,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:32:24,2017-11-24 11:32:39,http,140.211.11.105,443,10.64.105.232,2464,47844,17593,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:32:59,2017-11-24 11:33:15,http,10.5.71.60,443,10.64.105.232,1986,27024,570648,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:33:12,2017-11-24 11:33:19,http,10.5.71.60,443,10.64.105.232,1992,8009,8335377,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:34:28,2017-11-24 11:35:15,http,140.211.11.105,443,10.64.105.232,2552,9208,5301513,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:35:51,2017-11-24 11:36:01,postgresql,10.50.50.26,5432,10.64.105.232,1824,3319,3663,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:35:51,2017-11-24 11:36:01,postgresql,10.50.50.26,5432,10.64.105.232,1824,8029,240005069,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:29,2017-11-24 11:37:01,http,10.5.71.60,443,10.64.105.232,2247,35350,314917,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:30,2017-11-24 11:36:39,http,10.50.50.33,80,10.64.105.232,2197,23727,6686208,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:36,2017-11-24 11:36:52,http,10.50.50.26,443,10.64.105.232,2039,12132,106,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:39,2017-11-24 11:37:38,http,10.50.50.33,80,10.64.105.232,2212,1401,5854723,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:49,2017-11-24 11:36:54,http,10.50.50.26,443,10.64.105.232,2062,23610,200845,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:51,2017-11-24 11:37:02,http,10.50.50.33,80,10.64.105.232,2206,1995,109009,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:36:52,2017-11-24 11:37:52,http,10.50.50.33,80,10.64.105.232,2207,15,2183781,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:37:13,2017-11-24 11:37:34,http,10.50.50.26,443,10.64.105.232,2064,12357,80007,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:37:34,2017-11-24 11:38:10,http,10.50.50.26,443,10.64.105.232,2168,6362,249399,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:37:46,2017-11-24 11:38:34,http,10.50.50.26,443,10.64.105.232,2179,7366,9588,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:38:15,2017-11-24 11:38:15,http,10.50.50.26,443,10.64.105.232,2124,2126,80472,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:39:25,2017-11-24 11:39:31,http,10.50.50.26,443,10.64.105.232,2078,18370,2611904,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:39:45,2017-11-24 11:39:51,http,10.50.50.26,443,10.64.105.232,2113,11285,2272917,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:40:37,2017-11-24 11:40:52,http,10.50.50.26,443,10.64.105.232,2157,1097,821762,2017-11-24,development1,4,1462,0,0,0
2017-11-24 11:42:41,2017-11-24 11:42:57,http,10.50.50.26,443,10.64.105.232,2193,2256,21878,2017-11-24,development1,4,1462,0,0,0
2017-11-24 12:09:43,2017-11-24 12:10:35,http,10.50.50.33,80,10.64.105.232,2380,42629,241618,2017-11-24,development1,4,1462,0,0,0
2017-11-24 12:12:41,2017-11-24 12:13:05,http,10.50.50.33,80,10.64.105.232,1831,390,23660,2017-11-24,development1,4,1462,0,0,0
2017-11-24 12:12:57,2017-11-24 12:13:18,http,10.50.50.33,80,10.64.105.232,1850,610,143242,2017-11-24,development1,4,1462,0,0,0
